userID,SCHEME,# of Logins,# of Success,# of Failure,Average Login Time,Average Login Success Time,Average Login Failure Time
drt116,directrandom,3,3,0,0:00:05,0:00:05,0
drt167,directrandom,6,3,3,0:00:30,0:00:29,0:00:32
drt166,directrandom,6,3,3,0:00:11,0:00:15,0:00:07
drt154,directrandom,3,3,0,0:00:11,0:00:11,0
drt117,directrandom,7,2,5,0:00:07,0:00:08,0:00:06
drt126,directrandom,3,3,0,0:00:05,0:00:05,0
drt114,directrandom,3,0,3,0:00:14,0,0:00:14
drt105,directrandom,6,2,4,0:00:03,0:00:02,0:00:03
drt104,directrandom,3,1,2,0:00:02,0:00:01,0:00:03
drt107,directrandom,3,2,1,0:00:19,0:00:21,0:00:16
drt106,directrandom,6,1,5,0:00:03,0:00:02,0:00:03
drt101,directrandom,3,0,3,0:00:02,0,0:00:02
drt121,directrandom,7,7,0,0:00:05,0:00:05,0
drt103,directrandom,9,0,9,0:00:02,0,0:00:02
drt102,directrandom,4,3,1,0:00:07,0:00:06,0:00:11
drt112,directrandom,3,2,1,0:00:11,0:00:10,0:00:12
drt124,directrandom,2,0,2,0:00:02,0,0:00:02
drt122,directrandom,6,4,2,0:00:28,0:00:36,0:00:13
drt118,directrandom,4,1,3,0:00:05,0:00:07,0:00:04
drt119,directrandom,6,3,3,0:00:06,0:00:05,0:00:08
 _ , _ , _ , _ , _ , _ , _ , _ 
 _ , _ , _ , _ , _ , _ , _ , _ 
All Users: , _ , _ , _ , _ , _ , _ , _ 
 ||||| , _ , _ , _ , _ ,All logins,All successes,All Failures
Median: ,directrandom,4,2,3,0:00:04,0:00:08,0:00:04
 ||||| 
Mean: ,directrandom,5,2,3,0:00:09,0:00:12,0:00:07
 ||||| 
SD: ,directrandom,1.88,1.65,1.93,0:00:13,0:00:16,0:00:09
 _ , _ , _ , _ , _ , _ , _ , _ 
 _ , _ , _ , _ , _ , _ , _ , _ 
 _ , _ , _ , _ , _ , _ , _ , _ 
 _ , _ , _ , _ ,HISTOGRAM &, _ , _ , _ 
 _ , _ , _ , _ ,BOXPLOT DATA, _ , _ , _ 
 _ ,directrandom,directrandom,directrandom, _ , _ , _ , _ 
 _ ,All Login Times (s),All Success Times (s),All Failure Times (s), , _ , _ , _ 
 ,1.0,1.0,1.0, 
 ,1.0,1.0,1.0, 
 ,1.0,2.0,1.0, 
 ,1.0,2.0,1.0, 
 ,1.0,2.0,1.0, 
 ,1.0,2.0,2.0, 
 ,1.0,2.0,2.0, 
 ,2.0,2.0,2.0, 
 ,2.0,3.0,2.0, 
 ,2.0,3.0,2.0, 
 ,2.0,3.0,2.0, 
 ,2.0,3.0,2.0, 
 ,2.0,3.0,2.0, 
 ,2.0,3.0,2.0, 
 ,2.0,4.0,2.0, 
 ,2.0,4.0,2.0, 
 ,2.0,5.0,2.0, 
 ,2.0,6.0,2.0, 
 ,2.0,7.0,2.0, 
 ,2.0,7.0,2.0, 
 ,2.0,7.0,2.0, 
 ,2.0,8.0,3.0, 
 ,2.0,8.0,3.0, 
 ,2.0,8.0,3.0, 
 ,2.0,8.0,3.0, 
 ,2.0,8.0,4.0, 
 ,2.0,9.0,4.0, 
 ,2.0,10.0,4.0, 
 ,2.0,11.0,4.0, 
 ,3.0,11.0,4.0, 
 ,3.0,11.0,4.0, 
 ,3.0,12.0,4.0, 
 ,3.0,12.0,5.0, 
 ,3.0,13.0,5.0, 
 ,3.0,13.0,5.0, 
 ,3.0,14.0,6.0, 
 ,3.0,15.0,6.0, 
 ,3.0,17.0,9.0, 
 ,3.0,29.0,9.0, 
 ,4.0,36.0,9.0, 
 ,4.0,40.0,11.0, 
 ,4.0,43.0,11.0, 
 ,4.0,90.0,12.0, 
 ,4.0, ,13.0, 
 ,4.0, ,16.0, 
 ,4.0, ,18.0, 
 ,4.0, ,22.0, 
 ,4.0, ,32.0, 
 ,5.0, ,34.0, 
 ,5.0, ,50.0, 
 ,5.0, , , 
 ,5.0, , , 
 ,6.0, , , 
 ,6.0, , , 
 ,6.0, , , 
 ,7.0, , , 
 ,7.0, , , 
 ,7.0, , , 
 ,8.0, , , 
 ,8.0, , , 
 ,8.0, , , 
 ,8.0, , , 
 ,8.0, , , 
 ,9.0, , , 
 ,9.0, , , 
 ,9.0, , , 
 ,9.0, , , 
 ,10.0, , , 
 ,11.0, , , 
 ,11.0, , , 
 ,11.0, , , 
 ,11.0, , , 
 ,11.0, , , 
 ,12.0, , , 
 ,12.0, , , 
 ,12.0, , , 
 ,13.0, , , 
 ,13.0, , , 
 ,13.0, , , 
 ,14.0, , , 
 ,15.0, , , 
 ,16.0, , , 
 ,17.0, , , 
 ,18.0, , , 
 ,22.0, , , 
 ,29.0, , , 
 ,32.0, , , 
 ,34.0, , , 
 ,36.0, , , 
 ,40.0, , , 
 ,43.0, , , 
 ,50.0, , , 
 ,90.0, , , 
